EDGAR Country Code,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ABW,Aruba,0.101288858,0.105142031,0.10942828,0.102558666,0.107100982,0.114474963,0.076649136,0.115067065,0.115595654,0.115696592,0.097759311,0.094622727,0.102435653,0.114860496,0.110649706,0.120423961,0.121433673,0.1262694,0.122200855,0.147865128,0.145978231,0.090972212,0.109441656,0.111679076,0.12106432,0.127408825,0.131262472,0.118234952,0.11534276,0.140329989,0.151117498,0.130436256,0.118620276,0.118538693
AFG,Afghanistan,0.235478857,0.265677576,0.241175804,0.324220228,0.41787744,0.283911787,0.330615765,0.37549294,0.41616235,0.465648896,0.427288705,0.413839476,0.389044319,0.371524844,0.365396754,0.334388712,0.321340408,0.301854828,0.346626674,0.327365089,0.334331888,0.383332561,0.316702025,0.282894816,0.277066327,0.272985214,0.259409436,0.262758216,0.258370052,0.243495776,0.246249117,0.322302264,0.355827793,0.383209116
AGO,Angola,0.371658645,0.364947413,0.374160004,0.555378951,0.721906509,0.726557745,0.77090383,0.74914079,0.771052924,0.761865651,0.689414604,0.640034368,0.547160805,0.532787394,0.519714247,0.439020184,0.350859306,0.299235658,0.285432597,0.289944952,0.308888636,0.293922016,0.279042833,0.283141075,0.277628664,0.290971881,0.28808918,0.2685732,0.257626685,0.260964974,0.243998152,0.251774067,0.254961843,0.25464059
AIA,Anguilla,0.028943086,0.045075446,0.035440751,0.041588715,0.051702782,0.063176829,0.064996455,0.055839457,0.045075948,0.039613326,0.052983233,0.055059779,0.044559809,0.047258866,0.04025179,0.033853795,0.030335635,0.024910867,0.030102178,0.053210508,0.064449338,0.069479322,0.075213798,0.093407315,0.0982226,0.113917755,0.127597072,0.150618482,0.190672196,0.124423526,0.111726815,0.102502762,0.089841784,0.082969571
ALB,Albania,0.650254546,0.710073573,0.520889328,0.478346028,0.491436584,0.411140075,0.361446373,0.356990297,0.343501822,0.368090897,0.354033651,0.33546435,0.348002486,0.33756868,0.328092766,0.295721814,0.280825331,0.263462318,0.238460519,0.230100006,0.23069234,0.237011584,0.224886342,0.229889736,0.238623788,0.229252383,0.21216215,0.224141361,0.215216739,0.198510239,0.189777039,0.183612073,0.16294312,0.154735816
ANT,Curaçao,0.839622297,0.849509513,0.873171329,0.715993677,0.779289821,0.757571045,0.740161864,1.350997092,1.344482669,1.272947766,1.288198496,1.297013998,1.234833913,1.233682905,1.278913853,1.331702915,1.279967825,1.350642486,1.310193168,1.246954625,0.909284383,1.164152641,1.185948384,1.09725619,1.215909695,1.223880762,1.07555574,0.878302861,0.726408889,0.581445946,0.58271934,0.608839398,0.58485682,0.540602932
ARE,United Arab Emirates,0.387563035,0.424786703,0.408862237,0.434409205,0.427510847,0.421146879,0.417593015,0.392304691,0.394938074,0.393241737,0.362599426,0.39577864,0.391055711,0.381584587,0.364859555,0.370524515,0.352105614,0.363337443,0.408233606,0.433200055,0.443701387,0.433056918,0.443563165,0.444039321,0.432346357,0.425184472,0.415476377,0.400045435,0.370689365,0.386646182,0.403146662,0.398163068,0.384507589,0.372114689
ARG,Argentina,0.455462561,0.423708074,0.395643804,0.368326291,0.355483706,0.369540225,0.359511345,0.338289192,0.330071119,0.34888361,0.347558396,0.358462594,0.401287807,0.396764837,0.386343193,0.358500997,0.345345514,0.325123594,0.313757272,0.311386079,0.286069802,0.275068861,0.283742629,0.283867449,0.290522393,0.287539677,0.295893985,0.290363056,0.297631638,0.301293605,0.321787571,0.307625801,0.298797275,0.296152309
ARM,Armenia,1.115170811,1.294979953,1.250780509,0.755557825,0.495882061,0.523293159,0.415777916,0.458150818,0.429305223,0.388768598,0.402010676,0.375508889,0.307463784,0.291276499,0.284530796,0.278231106,0.244837201,0.238314985,0.236069446,0.233366142,0.220376411,0.229338667,0.23833462,0.231744333,0.233025678,0.223964825,0.219251397,0.208965138,0.201481645,0.197165898,0.224176776,0.226256893,0.195160961,0.18771369
ATG,Antigua and Barbuda,0.185270585,0.182534197,0.181682806,0.170582376,0.170705188,0.184615313,0.17222236,0.17041832,0.16593136,0.161974044,0.117616673,0.12181739,0.130205131,0.130059749,0.124712102,0.120056802,0.116004836,0.112879732,0.119365899,0.14921621,0.157377478,0.129032064,0.13118813,0.147130407,0.153064819,0.155906803,0.160132215,0.14079438,0.138394687,0.150394728,0.155388986,0.156136259,0.143037832,0.143744205
AUS,Australia,0.754399808,0.761807306,0.761525059,0.736388498,0.716828225,0.701787739,0.69443709,0.685955582,0.68461359,0.659647231,0.646125111,0.644549724,0.629498633,0.60035173,0.596798727,0.581434669,0.570796714,0.55890349,0.538349652,0.535591314,0.528396852,0.520597772,0.503730145,0.48773456,0.468038557,0.459500936,0.448405004,0.445197744,0.431136789,0.420448974,0.404826102,0.393853714,0.370100751,0.361048385
AUT,Austria,0.237161668,0.24108221,0.220651851,0.219416467,0.215073857,0.217019771,0.222299784,0.215688064,0.208543098,0.196516413,0.190352369,0.199019723,0.19988883,0.210124103,0.204197802,0.20089603,0.189276216,0.17638573,0.173130087,0.164923183,0.174050976,0.165807085,0.158328821,0.159833148,0.151975577,0.15258215,0.150604825,0.151632881,0.142903524,0.143002905,0.141813168,0.142123145,0.126675746,0.123521739
AZE,Azerbaijan,0.890897036,0.872739374,0.945978733,1.08822981,1.201978407,1.336791497,1.154184529,1.072121368,0.987200897,0.943505145,0.888818372,0.795942684,0.724726629,0.705012074,0.645426658,0.539552895,0.416952676,0.336816812,0.333390284,0.271773441,0.252982517,0.266287271,0.277682818,0.268874375,0.270852493,0.267228899,0.274563938,0.272779862,0.272368304,0.279503874,0.283484702,0.279502775,0.27647381,0.289723546
BDI,Burundi,0.370800722,0.369506248,0.359771585,0.389302811,0.402379565,0.453557041,0.510753113,0.52911249,0.500319437,0.441427231,0.455920202,0.439126411,0.416023152,0.427122551,0.428984231,0.44127447,0.446028696,0.465723283,0.446505765,0.454193866,0.465996916,0.474693871,0.452600236,0.531906727,0.503764733,0.522840881,0.556636537,0.616276275,0.627397623,0.582615363,0.573731573,0.630115778,0.633233725,0.621252839
BEL,Belgium,0.333623016,0.336793305,0.326433395,0.325136612,0.331428635,0.325681126,0.33300041,0.313134685,0.31459902,0.295933919,0.287991976,0.285192877,0.265850918,0.269888776,0.258613122,0.247498297,0.235439351,0.222660737,0.224620124,0.216932098,0.224407367,0.204305275,0.199873973,0.201170362,0.187583916,0.190944945,0.187087137,0.181149735,0.178605741,0.174038186,0.172056859,0.166376094,0.151428438,0.141526572
BEN,Benin,0.330882116,0.324972889,0.324048964,0.307729066,0.326259571,0.292485591,0.343575222,0.343032572,0.331140622,0.33437428,0.328364743,0.339528345,0.346920435,0.352416006,0.352083785,0.366562252,0.407086489,0.413214157,0.398567969,0.409847941,0.434070524,0.425212509,0.404600928,0.403165402,0.396369608,0.40562164,0.441621969,0.427160194,0.438841644,0.411118734,0.407074144,0.344724286,0.336514628,0.318023005
BFA,Burkina Faso,1.110029053,1.071128478,1.079364221,1.067789911,1.087238296,1.061275753,0.984370749,0.962407713,0.922450639,0.823763541,0.82875106,0.865760719,0.851086179,0.951280754,0.924735602,0.877423558,0.844433447,0.846485674,0.838058558,0.831575627,0.791232056,0.762766276,0.741041824,0.726760315,0.701556822,0.716267377,0.693312708,0.676978175,0.658674806,0.648933273,0.565193364,0.616891617,0.61289864,0.602902501
BGD,Bangladesh,0.563042947,0.535870959,0.513164044,0.487634284,0.476412089,0.47128247,0.456091413,0.44202996,0.418415329,0.417473571,0.400021901,0.397298407,0.392453419,0.382251837,0.365344318,0.354976233,0.343046218,0.329468517,0.329391538,0.322402877,0.31872462,0.306777254,0.294916607,0.281978736,0.27424406,0.26791253,0.257839576,0.254167842,0.241610264,0.226869156,0.215632068,0.215950184,0.208428552,0.199094813
BGR,Bulgaria,0.786641318,0.715836988,0.729035237,0.728020871,0.681259573,0.668580407,0.63933168,0.71597367,0.661630869,0.649747796,0.603376337,0.599145744,0.536204901,0.559924152,0.512195663,0.483950415,0.462071652,0.457264215,0.411149098,0.373317503,0.384838649,0.410792483,0.375979002,0.346097951,0.358568335,0.369282592,0.344372943,0.348040172,0.319388238,0.298696436,0.285156294,0.296825454,0.305606783,0.249331728
BHR,Bahrain,1.388847268,1.22926831,1.321749784,1.246072231,1.247272729,1.195328838,1.191738436,1.072434449,1.069912685,1.086150187,1.047023392,1.049385921,1.002322799,0.934208505,0.8717477,0.891369178,0.870129323,0.824344919,0.837588635,0.826893547,0.798195316,0.788639421,0.819089941,0.844723388,0.835541786,0.814822926,0.790571426,0.759428282,0.743173252,0.775166966,0.815042543,0.797018104,0.749273774,0.745499572
BHS,Bahamas,0.14325058,0.137474923,0.126892617,0.129750428,0.13728637,0.149367261,0.158071293,0.157555274,0.170492467,0.145257715,0.112317075,0.109480789,0.115159516,0.092710782,0.098213098,0.094178278,0.111380103,0.127844997,0.135691562,0.121357522,0.132498883,0.096743948,0.107344053,0.117346006,0.11899835,0.116789648,0.128531837,0.135847251,0.145474389,0.165994682,0.177722418,0.167571735,0.151937593,0.155046055
BIH,Bosnia and Herzegovina,3.013516498,3.012205104,2.470739147,2.159760151,0.646769136,0.558924587,0.401113954,0.509650067,0.547428399,0.5133421,0.599698677,0.571808688,0.57535608,0.565222396,0.570114407,0.567058202,0.588553349,0.583616413,0.583977619,0.597420822,0.603946673,0.667561695,0.62817911,0.609930229,0.572836233,0.54827594,0.596111607,0.588523497,0.573996169,0.528356153,0.543336618,0.503186805,0.482159325,0.461011065
BLR,Belarus,1.111110585,1.085460593,1.096485861,1.05001762,1.041062437,1.055526968,1.028878239,0.923169607,0.835762549,0.784194186,0.71657279,0.672278348,0.639264425,0.601512244,0.566732434,0.519164666,0.488527485,0.442519357,0.43779458,0.424231247,0.41639149,0.384071759,0.384405695,0.382802992,0.373983498,0.36975636,0.375928305,0.373849008,0.375743544,0.361833225,0.353276471,0.345311722,0.354456985,0.331270202
BLZ,Belize,0.314058748,0.291607197,0.256357518,0.233343357,0.234687138,0.224809049,0.214492859,0.250077276,0.248880658,0.234580549,0.184361375,0.183278715,0.178817115,0.171756527,0.157063662,0.160707948,0.178669379,0.180658019,0.186296919,0.203185667,0.211684884,0.204357075,0.189824931,0.197985581,0.179847125,0.186165437,0.191780334,0.205173492,0.193975376,0.193680202,0.212398767,0.187721643,0.177281381,0.175084824
BMU,Bermuda,0.06189897,0.058441667,0.04733581,0.050692877,0.049971776,0.048107067,0.047708732,0.046760261,0.046031041,0.045088966,0.02967937,0.027441945,0.03057352,0.030430315,0.03004265,0.031526965,0.036380173,0.041478521,0.042523036,0.03991751,0.050661333,0.027938496,0.033530943,0.036973528,0.05135501,0.043812104,0.058158374,0.051699475,0.056285385,0.06382978,0.060803877,0.060276183,0.056803077,0.052702032
BOL,Bolivia,0.810693343,0.816560758,0.837167829,0.85614361,0.86590038,0.654091096,0.623397197,0.683479366,0.59889149,0.582447863,0.555596142,0.51834742,0.527402475,0.530229294,0.532125571,0.518745413,0.511181225,0.518909344,0.504924373,0.507432453,0.530855292,0.514124777,0.509577847,0.496948536,0.481908849,0.469156012,0.466628885,0.453651351,0.44098235,0.439180285,0.451456504,0.461716465,0.45756996,0.460707557
