EDGAR Country Code,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ABW,Aruba,0.621591058,0.698824562,0.87551387,0.952141939,0.935603219,1.166287295,1.151959413,1.335585852,1.422296636,1.492020038,1.555235173,1.596093881,1.561011954,1.583946386,1.800645788,1.88476204,2.051561022,2.319984719,2.580719686,3.487785646,3.539583377,3.815004099,3.981484325,3.768459811,4.02526521,4.212938913,2.755646059,4.311688509,4.325349734,4.297634042,3.828660907,3.775807427,3.959692461,4.395582875,4.464145033,4.777262636,4.832929496,5.160789151,5.079515097,5.423200434,5.196582313,3.334974816,3.950012017,4.264643089,4.523034965,4.705631058,4.908697259,4.713297374,4.689428592,5.553807018,4.529960553,4.96450011,4.986944745,5.199051894
AFG,Afghanistan,1.38749699,1.345625016,1.136046902,1.158555604,1.231819374,1.258354315,1.241662979,1.231162453,1.181495086,1.162233296,1.159963944,1.188505701,1.216957097,1.247321894,1.193975327,1.214088152,1.086126507,1.087010359,1.105118287,1.049064765,1.025512118,0.971501703,0.832849382,0.778118142,0.727688727,0.70110188,0.742014588,0.775111942,0.799101874,0.827066985,0.692535603,0.582188532,0.671385578,0.664955597,0.634249549,0.62109641,0.608856916,0.633323552,0.737051972,0.823560984,0.935208834,1.044029484,0.941238116,0.858901239,0.837051478,0.812423689,0.768524888,0.779393447,0.757516517,0.725167876,0.700206579,0.71036322,0.719307974,0.724742358
AGO,Angola,2.803674376,2.723447633,3.024597135,3.162828686,3.168898302,2.931294122,2.352391267,2.859556895,3.032014727,2.998765259,2.953449933,2.699727915,2.630142929,2.709829685,2.699847395,2.771181387,2.820268762,2.91191142,3.032349657,2.983104014,2.624187596,2.523157231,2.357892952,2.574084682,3.283525256,3.686470173,4.316242525,4.378227387,4.591317308,4.506098337,4.076616785,3.817850607,3.585469733,3.471071751,3.624775952,3.398464844,2.9235618,2.743182664,2.807096667,2.775225735,2.978333767,2.829564327,2.813828611,2.892638708,2.871257937,2.935286624,2.737462977,2.465213416,2.258535625,2.199313779,1.878920631,1.900306671,1.920968381,1.874899783
AIA,Anguilla,0.523981205,0.526423213,0.543562336,0.520344229,0.560073271,0.598575771,0.575509323,0.59221172,0.648846771,0.697617371,0.885119354,1.235925912,1.314631518,1.175044564,1.124822113,0.773191929,0.678182189,1.079503363,0.988576849,0.990920179,0.948237752,1.091939636,1.095438363,1.292205318,1.602990592,1.910974742,1.84772862,1.541147404,1.398077807,1.303311477,1.615379463,1.619194388,1.13360139,1.383931891,1.300404306,1.289607673,1.199237936,1.14170039,1.367663094,1.703995864,1.969023721,2.092480112,2.069238743,2.184024975,2.158513106,2.144561227,2.149043045,2.178249084,2.099981645,2.039523945,1.703661686,1.681618276,1.671226509,1.638172014
ALB,Albania,3.82444443,3.710614964,4.039683136,3.723084945,3.754263517,3.746379954,3.913495662,4.05138641,4.363888099,4.714220959,4.691931276,4.241351423,4.391371513,4.606787014,4.621349912,4.372444771,4.33959518,4.319997013,4.184950592,4.085297097,3.502459493,2.758735861,1.898474451,1.940625568,2.192952718,2.101713133,2.025281366,1.781412299,1.859006094,2.240343624,2.299745136,2.359510823,2.561511907,2.628843026,2.707491123,2.590754483,2.626667867,2.637981578,2.594397066,2.612744826,2.736998882,2.897213968,2.794276305,2.886114658,3.047044286,2.989698451,2.855612541,3.127462357,3.119192617,2.93306248,2.708111597,2.851647864,2.650838741,2.603892614
ANT,Curaçao,104.9506113,103.6475966,99.56626215,109.0191689,97.99531075,70.42350275,74.91961113,76.09226033,64.9920321,64.57190744,61.37775904,56.8061247,51.35391397,47.97597357,46.61156547,31.15765821,29.8123044,27.81124579,24.56988683,21.25227996,19.38577509,20.14494521,21.0922306,17.54212772,19.74413267,19.96185891,20.44103567,39.57455103,41.73182963,42.16819306,44.55823015,45.17408955,43.66449328,44.02563435,45.68636893,47.4360679,45.45938943,47.84833811,45.99441402,42.27037469,30.08104829,37.94118412,37.91443171,34.42616495,37.51410966,37.57341603,32.38827659,25.92088269,20.85221074,16.05937828,13.11485274,14.23426611,14.66436426,15.2538814
ARE,United Arab Emirates,126.3955327,128.4441625,118.6266869,127.59903,110.7500205,95.7405405,99.44572794,87.39414487,83.19025946,59.21235607,56.41364963,48.09847558,43.63731684,39.73166275,47.78120203,46.8259417,44.23956036,44.03217162,41.14825721,43.91936562,42.73555356,44.60843763,41.89263216,42.60565247,42.48628177,42.46245499,42.42826414,41.06334679,39.44188576,38.38335718,37.15958671,39.01159587,37.4441298,37.25937585,35.73059278,33.96259538,30.96927597,28.59909405,29.06944781,26.28610279,25.35619398,25.06839979,25.47537886,26.47726562,26.66267672,27.74537524,28.26368189,27.03330127,25.00241046,25.98515775,25.40705341,25.85940231,26.60102664,26.2906836
ARG,Argentina,9.156879064,9.145725947,9.275334215,9.430558764,9.284868744,9.155054929,9.332051844,9.585532773,9.178229126,9.255777541,8.952710203,8.612710596,8.365340971,8.441735215,8.351606683,7.947923856,8.015688359,8.027620273,8.177130388,8.03281794,7.754315991,7.762432347,7.71637062,7.669299526,7.732505567,7.712102994,7.822483478,7.865744572,7.88051168,7.958401816,7.778722129,7.584327689,7.481990366,7.96312367,8.362580127,8.356867684,8.607121569,8.742134246,8.68918919,8.030213876,8.040667945,8.110464446,8.19383204,8.307152555,8.203128599,8.256835514,8.238457534,8.232787779,8.141155579,8.002482946,7.631494782,8.006577067,8.091749016,7.82933219
ARM,Armenia,5.018515604,4.959490436,5.145898126,5.407149505,5.655816278,5.981003215,6.014480924,6.105635468,6.229155264,6.337308667,6.594576901,6.632116933,6.720063053,6.647341366,6.566117177,6.484786477,6.44575351,6.407671177,6.291452131,6.124282279,6.871493591,7.112003786,4.070417391,2.295586525,1.626397047,1.872544553,1.599499812,1.841461478,1.866022678,1.756699769,1.93588815,1.994160064,1.858543514,2.017894385,2.190619169,2.455707914,2.465035284,2.751744934,2.938786262,2.512476965,2.434321803,2.653982464,2.950164375,2.951382248,3.061091937,3.025043398,2.959318608,3.026192049,3.065671267,3.225197431,3.400724265,3.629719868,3.525353136,3.687083005
ATG,Antigua and Barbuda,2.360275221,2.417645456,2.687195998,2.675658009,2.446809154,2.765231066,2.573607974,2.744041094,2.795204796,2.861386817,2.91111678,2.697837039,3.188917016,2.340255118,2.644944622,2.741083361,2.866303017,3.429963739,3.642534295,3.661874928,3.692730014,3.683641152,3.648229861,3.528286125,3.673006883,3.701088518,3.582907653,3.63780898,3.611493806,3.567609955,2.693607631,2.616812139,2.786122309,2.917400394,2.926449832,2.966120739,3.192737415,3.35599112,3.50624089,3.813235548,3.664183725,2.912823741,3.027913939,3.339345995,3.513118865,3.591987954,3.801031642,3.389124788,3.527107119,3.912518526,3.247205464,3.500463054,3.479155803,3.597742328
