EDGAR Country Code,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ABW,Aruba,0.036713033,0.041538132,0.05239075,0.057359887,0.056630192,0.070743488,0.069792613,0.080623976,0.085484295,0.089491362,0.093463413,0.096670618,0.095760278,0.098523049,0.113145379,0.118789012,0.128517989,0.143451615,0.157627778,0.212866534,0.219981567,0.246533195,0.271676583,0.27322841,0.308737842,0.338400105,0.229269752,0.368438095,0.377503549,0.382510918,0.347845329,0.350764958,0.376139106,0.426446264,0.440776288,0.477874359,0.487313947,0.522375078,0.514824094,0.550199954,0.528331327,0.340344185,0.405180383,0.440055726,0.469468414,0.49099025,0.514539464,0.496140535,0.495531919,0.588997896,0.482159941,0.531201512,0.533603088,0.561497605
AFG,Afghanistan,15.43743026,15.36407731,13.31662818,13.93487509,15.17786242,15.84305833,15.94332515,16.08821535,15.6402775,15.4654898,15.36766632,15.51475342,15.51571622,15.45344515,14.38394017,14.30560069,12.60015361,12.50366276,12.75405964,12.35546517,12.56160048,12.62340168,11.64423378,11.74577117,11.76869148,11.98849161,13.2248518,14.24779768,15.07425776,16.04815966,13.9156719,12.20645586,14.75698787,15.33713434,15.29746486,15.57138387,15.76543656,16.85704632,20.11709652,23.06324886,26.9370071,31.01665434,28.89318644,27.25439645,27.4201323,27.40833177,26.63399854,27.6919271,27.55328161,26.98277657,26.64632007,27.64307435,28.61407122,29.46005211
AGO,Angola,18.99876297,18.86605709,21.45900249,23.01894066,23.68542333,22.51960847,18.5862434,23.25102852,25.39661015,25.91388996,26.37401256,24.9576617,25.20245037,26.91283611,27.74714163,29.39946333,30.80015515,32.66669588,34.91447395,35.2817678,31.9400369,31.67420199,30.57786317,34.50225885,45.44825813,52.6022429,63.37236762,66.06307304,71.18516094,71.87136725,67.02324889,64.83970222,63.00602543,63.18530751,68.38393566,66.44848386,59.23837861,57.60052661,61.0807392,62.57995273,69.60097965,68.5280866,70.61640559,75.20368893,77.2956993,81.77503063,78.87588948,73.42440944,69.50463832,69.9108319,61.68008101,64.40899432,67.21084171,67.70075625
AIA,Anguilla,0.003355052,0.003395956,0.003533699,0.003411377,0.003694243,0.003967959,0.003832892,0.00396012,0.004353113,0.004683105,0.00593207,0.008218907,0.008660792,0.007683616,0.007369834,0.005151005,0.004662503,0.007767027,0.007487481,0.007892679,0.007902613,0.009462749,0.009838132,0.011973574,0.015287721,0.018731374,0.018584454,0.015878442,0.014746925,0.014066641,0.017882251,0.018413479,0.013254067,0.016636245,0.016045689,0.016298062,0.015473767,0.01501336,0.018271979,0.023114704,0.027111488,0.02919219,0.029236274,0.031229373,0.031209941,0.031334184,0.031728472,0.032475516,0.031594224,0.030947736,0.026037062,0.025224274,0.025068398,0.026210752
AIR,International Aviation,172.478021,172.4654519,182.4598185,190.2969098,183.1621035,177.1658359,177.4830769,193.5933657,200.7501987,207.5339429,206.3935835,205.5753373,213.055787,214.9474035,222.9847838,229.0837648,251.5998555,265.9813162,281.007448,295.1234006,264.2566833,257.1462467,265.7079589,270.9059042,284.8241775,295.6568351,307.7413186,322.5756276,333.3592536,347.530247,360.0554398,353.8395287,374.4240156,372.3056391,408.4544228,434.7378152,450.2413269,465.3921683,472.6000978,449.6950176,472.8712935,486.5112758,490.117467,498.812375,514.2639761,543.3542546,567.6312866,597.7715801,624.1356123,633.4645019,302.6323367,335.7287293,416.9534218,498.1781144
ALB,Albania,8.224850191,8.170885469,9.10479944,8.585433884,8.854280335,9.033383738,9.644183899,10.2008643,11.22326561,12.38091136,12.58019381,11.60149579,12.2445051,13.0953449,13.40926269,12.97216915,13.19675234,13.48417948,13.37957999,13.29216775,11.4931457,9.036046201,6.15217732,6.189780498,6.887165377,6.529476259,6.2626358,5.509979497,5.769908753,6.979969788,7.179735322,7.367360188,7.989432485,8.178356941,8.387130628,7.97739939,8.022710466,7.977018874,7.761527982,7.740622333,8.048227324,8.47916023,8.159398582,8.424510963,8.899746011,8.739934966,8.356521759,9.164058925,9.152843406,8.618592918,7.967356394,8.395251313,7.812021769,7.673671533
ANT,Curaçao,15.07447611,15.07523199,14.65137461,16.20221084,14.6682321,10.58169468,11.25592238,11.39215275,9.679198353,9.574528719,9.083662827,8.419235743,7.642181354,7.176246128,7.000451181,4.685395168,4.473544962,4.152886468,3.645040992,3.132798588,2.843331018,2.945976643,3.079908603,2.557010706,2.865367253,2.872192108,2.902279566,5.523380514,5.712711891,5.663652177,5.886097645,5.885144863,5.625253003,5.636205734,5.855027983,6.137942569,5.996002548,6.483354116,6.426799469,6.08410184,4.440203376,5.713676743,5.800339335,5.332440821,5.871408332,5.936975467,5.161752028,4.161312585,3.369237656,2.61040376,2.144212848,2.334419642,2.419620103,2.532144312
ARE,United Arab Emirates,29.76602155,35.81126006,39.47421633,50.67901713,52.20357267,53.07127937,64.33571757,65.38104547,70.89989691,56.37253147,58.8044601,53.91358128,51.90877025,49.78615732,62.99855924,65.1372262,65.13036557,68.72189091,68.13534169,77.12416282,79.49539467,87.87996037,87.41484197,94.0481433,98.9373795,103.982909,109.0839157,110.871447,111.9415937,114.6956126,117.2358949,129.7537382,131.3251754,139.4219763,146.0641621,155.5337433,162.3418737,172.8549264,200.4129126,201.5195156,209.7129665,217.4051958,226.7423357,238.4611383,241.8536744,253.9894885,261.9933083,254.1170869,238.5633747,251.590584,249.3237344,256.9648808,267.632929,267.8231938
ARG,Argentina,219.5187775,222.8484167,229.8696804,237.7764504,238.1058165,238.6448168,247.0866031,257.6457012,250.3609806,256.2415733,251.6239777,245.8360436,242.5446961,248.6487783,249.8875884,241.5278685,247.3416988,251.4772465,259.9959492,259.1676249,253.7964361,257.6654031,259.6959965,261.6067092,267.2207006,269.8835019,277.070018,281.861091,285.6023521,291.6603056,288.2599953,284.196135,283.4881258,305.06249,323.8718569,327.1337639,340.4882614,349.4248542,350.8903136,327.627908,331.4676913,337.8568063,344.9332892,353.385439,352.5827719,358.493633,361.2349429,364.4737477,363.8189945,360.9262333,347.3123725,367.6139794,374.7612639,365.6846186
ARM,Armenia,12.67210319,12.833723,13.63910006,14.66840703,15.6878204,16.94274667,17.37932379,17.97731096,18.67133228,19.32315123,20.44153975,20.87850099,21.46179817,21.52801327,21.57356894,21.63279375,21.8656718,22.11889644,22.04933771,21.65834055,24.31244376,24.92935127,14.0136737,7.720287041,5.340534929,6.024612492,5.067567296,5.769464542,5.80086738,5.426480721,5.942382905,6.083504341,5.638635168,6.089621853,6.573193785,7.321103775,7.292806887,8.071032995,8.546636982,7.257490712,7.004298468,7.631738893,8.502137717,8.539854048,8.896206609,8.82390034,8.655474251,8.868104491,8.995145481,9.471456647,9.993636984,10.67137641,10.36453822,10.83633695
