Substance,Macro-region,Sector,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
CO2,Africa,Deforestation,1356.088018,1356.888101,1363.322299,1356.097241,1354.52055,1362.475729,1362.312993,1363.118094,1360.61057,1365.004798,1365.624627,1372.701058,1383.986275,1397.074996,1419.590775,1440.541395,1424.665417,1436.151133,1457.079244,1467.702402,1502.271374,1983.973446,1998.763247,1996.60058,2004.081318,1607.36976,1624.969234,1624.214156,1631.465836,1636.420938,1636.763928,1635.736375,1635.736375,1635.736375
CO2,Africa,Fires,125.899474,108.3626779,122.6730405,193.6230941,124.3985262,124.3985262,138.6279397,47.5709069,125.6552937,158.8392561,273.5638932,173.0722869,163.1849234,117.8745421,118.7279223,132.4119295,139.8467058,131.5007864,176.0703387,122.3553505,206.3021038,316.0893026,225.6572649,134.6632174,88.52303065,98.35304707,105.0960119,141.4673173,88.3869728,77.70492046,147.9375102,244.1224856,178.4260116,212.5878907
GWP_100_AR5_CH4,Africa,Fires,374.247333,333.5941529,329.2164247,399.1803765,342.0558983,342.0558983,368.6739025,187.1692332,363.8991119,314.1613853,425.703966,363.7719157,297.7875279,295.8988423,292.6206498,326.7649479,285.0063188,290.6522236,308.5739681,320.927513,300.8502784,331.4414054,312.064318,289.1204086,229.0616225,271.4107494,293.5283989,276.0975077,324.9814815,284.1022923,250.2452796,231.3417941,249.5358807,209.7915331
GWP_100_AR5_N2O,Africa,Fires,117.8066222,111.6375247,117.5278702,123.4233031,110.9526732,110.9526732,126.4336264,63.85681399,120.6538059,113.1834883,137.7125526,119.4569037,87.9173291,103.0173032,93.40256975,111.2140972,98.21020349,101.6859584,104.4547415,91.44088389,101.4643602,104.5184949,97.8234995,93.75396901,85.41108189,90.11444775,99.33494221,87.47834823,85.16090326,76.63461782,88.19280593,89.76799262,89.85633703,75.57398559
CO2,Africa,Forest Land,-2511.116828,-2271.792539,-2175.060098,-2071.792273,-1962.607111,-1860.515955,-1811.604588,-1763.147135,-1727.636959,-1681.460976,-1605.043124,-1548.962266,-1510.162767,-1448.568647,-1422.335778,-1342.596328,-1274.346991,-1234.991334,-1267.784114,-1239.520881,-1187.567823,-1133.82383,-1096.642405,-1049.361649,-998.8578651,-941.1773128,-935.5737979,-894.4843785,-854.2293654,-833.967645,-791.4109563,-719.9690302,-696.4957935,-650.8682699
CO2,Africa,Organic Soil,0.296122933,0.296122933,0.296122933,0.296122933,0.296122933,0.296122933,0.296122933,0.296122933,0.296122933,0.296122933,0.296122933,0.296122933,0.296122933,0.296122933,0.296122933,0.296122933,0.296122933,0.296122933,0.296122933,0.296122933,0.296122933,0.296122933,0.296122933,0.296122933,0.296122933,0.296122933,0.296122933,0.296122933,0.296122933,0.296122933,0.296122933,0.296122933,0.296122933,0.296122933
CO2,Africa,Other Land,59.59103528,58.67810307,57.98497302,69.01780492,49.64416992,49.0717037,50.00493871,42.89716928,47.7911586,23.53025158,37.80635437,25.91700442,35.00761826,19.23275019,0.933809264,8.312701843,18.58185933,60.74893888,112.5134097,103.7102176,86.79337636,114.5240349,122.5332906,118.2114894,105.3551787,126.0966166,110.3922062,108.7063961,111.4225345,120.1959933,109.365203,119.6795274,119.6795274,119.6795274
CO2,Asia-Pacific Developed,Deforestation,177.0890719,163.5533413,120.5817236,105.2711085,92.64789373,82.30842739,77.43534344,76.95420343,75.32745035,85.58023152,84.62726664,98.80635242,93.61093587,87.79747788,88.7615665,108.7641397,109.7305013,115.5486074,80.81528844,70.15884774,75.00327596,61.08092904,56.47872756,62.6698634,63.49601127,52.81653788,52.67937396,50.69953834,53.89354919,39.2319149,43.09293237,42.74517607,42.74517607,42.74517607
CO2,Asia-Pacific Developed,Fires,312.0824051,354.0561972,419.224903,756.191262,386.5183377,386.5183377,241.8572153,143.9084958,381.2244064,466.6358264,699.8052537,790.1997975,1122.367513,285.3355078,579.2536961,139.5558633,678.6779876,588.1210835,229.9344224,268.6965122,129.1509142,1257.960152,1161.209866,256.6202303,470.6066713,457.2362613,170.7105601,671.3124742,571.4587598,510.0451694,219.0879468,195.6864649,250.1700199,1082.156139
GWP_100_AR5_CH4,Asia-Pacific Developed,Fires,27.12631518,30.22279506,35.12067871,43.59600907,28.56181816,28.56181816,25.30928918,12.34458077,29.93208374,30.76125216,40.11772259,49.47778797,59.01726407,25.05382004,37.3172493,14.31683923,41.46280255,34.77470458,17.51565204,24.57237886,9.951987457,63.17279766,62.52644424,19.30309813,30.45890261,27.48233315,14.69743702,34.71945489,34.65500872,41.72970818,19.8718455,14.67111731,16.44062544,53.29161003
GWP_100_AR5_N2O,Asia-Pacific Developed,Fires,18.69085016,19.7479891,24.19173539,33.50858377,21.07013485,21.07013485,18.4574077,8.380860671,21.45514968,24.42015111,31.03415042,40.72850011,48.76120322,18.11690434,31.82705437,11.86436684,33.4657404,29.08867816,14.89825226,19.47677132,8.381163395,53.93037986,52.9429532,15.15666759,25.14645095,23.08242157,11.65458108,29.33753377,28.71480313,27.11791047,12.70853351,12.42505377,14.0093997,45.43479187
CO2,Asia-Pacific Developed,Forest Land,-492.7347671,-494.1351357,-494.0360997,-493.6136946,-491.5568516,-487.7602284,-489.145179,-483.8968141,-487.7562361,-481.4127712,-470.9045561,-471.9143891,-473.3106964,-474.0767466,-475.0686447,-475.3650114,-471.9954885,-467.7859026,-474.2266343,-480.2242438,-471.5992021,-462.7466929,-466.6377604,-459.2447746,-453.1788511,-448.364154,-438.3815032,-415.6512625,-411.3796709,-410.0948667,-422.3728707,-414.728813,-413.9078123,-414.0442936
CO2,Asia-Pacific Developed,Organic Soil,3.30471804,3.332764774,3.29174362,3.229627468,3.293111997,3.233121999,3.339005585,3.210245398,3.280299634,3.440361333,3.34840427,3.368879844,3.158085236,3.122370747,3.271186343,3.192838391,3.318181432,3.1701601,3.253333508,3.240526269,3.392964393,3.58220522,3.27797012,3.126044318,3.259117431,3.070677548,3.061879566,3.305929497,3.203247178,3.040254803,3.122277189,3.122277189,3.122277189,3.122277189
CO2,Asia-Pacific Developed,Other Land,20.77262018,11.98297161,-9.372305031,-15.03392339,-7.51942719,-24.32503779,-18.06365127,-15.28700716,-27.32557727,-32.53798922,-25.67396899,-28.96771753,-34.52871236,-20.07877933,-20.5135776,-10.82743411,-1.609599448,8.881602403,12.41536214,26.99282596,12.31775969,20.19014664,14.75827493,1.488186764,-1.484705497,-9.798625333,-29.16352254,-41.65693093,-45.99680867,-48.67210612,-45.426055,-48.55603975,-48.55603975,-48.55603975
CO2,Eastern Asia,Deforestation,4.081995649,3.998807649,3.915619649,3.832431649,3.749243649,3.666055649,4.055723649,4.445391649,4.835059649,5.224727649,5.614395649,5.253729649,4.893063649,4.532397649,4.171731649,3.811065649,3.846428519,3.881791389,3.917154259,3.95251713,3.98788,4.204268,4.420656,4.637044,4.853432,4.050653333,3.258100667,3.493548,3.404662,3.403776,3.40289,3.40289,3.40289,3.40289
CO2,Eastern Asia,Fires,141.1352753,138.6917935,191.50869,145.7805697,118.6155052,118.6155052,74.98889808,25.6200266,128.4816784,104.8680515,153.2243858,54.51818119,7.250100142,26.34519529,16.1981105,8.793798228,6.855536133,8.39731974,31.45066608,16.84197543,10.89384736,9.834860933,6.117731091,7.380625796,16.3243828,8.265507391,7.799445578,6.045657471,10.15987875,9.46788708,8.297050811,5.598484223,5.006497535,6.852595635
GWP_100_AR5_CH4,Eastern Asia,Fires,12.81544954,12.44860104,18.48347343,15.89909006,11.25551715,11.25551715,7.75302527,2.784301262,12.51902518,9.880413923,15.01303968,4.852874794,0.96981977,2.94332714,2.415468032,1.174645261,1.080799266,1.540710707,3.565723989,1.803838743,1.13406406,1.437379434,1.107513236,0.909712178,1.904539874,1.321417206,0.978704755,0.701588376,0.88006439,1.00876774,0.757778421,0.564587502,0.629372445,1.29455312
GWP_100_AR5_N2O,Eastern Asia,Fires,6.920432606,6.807695114,9.569265611,7.941308346,5.927641505,5.927641505,4.042303852,1.543129806,6.560238355,5.108332103,7.982334647,2.662628076,0.60840807,1.759693719,1.293275485,0.731505852,0.661909507,0.933313967,1.849702743,0.992720466,0.671101582,0.931731159,0.786027519,0.591617638,1.09097427,0.873859824,0.635515818,0.404002445,0.478857666,0.572427547,0.418506024,0.306621353,0.359227908,0.856409715
CO2,Eastern Asia,Forest Land,-621.0204566,-629.3072651,-639.105043,-646.0809764,-661.7525366,-661.2733051,-657.4429424,-667.3555333,-670.848503,-683.1543011,-696.6595506,-708.1773271,-714.9210999,-719.4106714,-728.559741,-735.9550781,-742.986119,-715.5426714,-675.2047774,-627.1359655,-600.440248,-605.7220888,-611.6671965,-597.2968408,-655.6319,-692.1926153,-627.1851643,-638.2677094,-629.0410984,-690.8776583,-651.8920542,-660.1690857,-665.2268125,-670.1697031
